Product,Url,uniqueName,Description
Fleece Bib Tights,http://www.champ-sys.com.au/custom/fleece-bib-tights.html,fleece-bib-tights,"                       <p>Full length fleece bib knickers for the ultimate protection in cold weather riding</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colours</li><br><li>made from genuine&#xA0;CS Tech Fleece</li><br><li>zippered ankles with reflective piping</li><br><li>CS Tech Fleece is an incredibly lightweight and warm brushed fleece.&#xA0;It&#x2019;s a single-sided fleece, which means that only the inside is fleece-lined.&#xA0;The outside has a smooth finish.&#xA0;</li><br></ul><br><p><em><a href='http://champ-sys.com.au/cycling/custom/pages/chamois' target='_self'>WHICH&#xA0;CHAMOIS PAD?</a></em></p><br><p><em><br></em></p><br><br><p>&#xA0;<strong><strong>CS VIVID &#x2013; Safety in Style &#x2013; add this option when you order. Find out more&#xA0;<a href='http://champ-sys.com.au/csvivid'>here</a></strong></strong></p>                    "
WindGuard Vest,http://www.champ-sys.com.au/custom/windguard-vest.html,windguard-vest,"                       <p>Lighweight shell vest or gillet. Designed to be folded or rolled into your jersey pocket with ease.</p><br><h4>Features:</h4><br><ul><br><li>made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS WindGuard fabric</a></li><br><li>unlimited number of colors</li><br><li>mesh back</li><br><li>high collar</li><br><li>separate side panels</li><br><li>NOTE: This vest does not come with rear pockets</li><br></ul>                    "
Fleece Bib Knickers,http://www.champ-sys.com.au/custom/fleece-bib-knickers.html,fleece-bib-knickers,"                       <p>Fleece 3/4 Bib Knicker that sits half way up the calf, providing excellent warmth and comfort.</p><br><h4>Features:</h4><br><ul><br><li>unlimited number of colors</li><br><li>mesh&#xA0;shoulder straps</li><br><li>CS Tech Fleece is an incredibly lightweight and warm brushed fleece.&#xA0;It&#x2019;s a single-sided fleece, which means that only the inside is fleece-lined.&#xA0;The outside has a smooth finish.&#xA0;&#xA0;</li><br></ul><br><p><em><a href='http://champ-sys.com.au/cycling/custom/pages/chamois' target='_self'>&#xA0;</a></em></p>                    "
Bandanna,http://www.champ-sys.com.au/custom/bandanna.html,bandanna,"                       <h4>Features:</h4><br><ul><br><li>unlimited number of colors at no extra charge</li><br><li>made&#xA0;from our CS&#xA0;Tech&#xA0;moisture-wicking fabric, the same material we use in our cycling jerseys</li><br><li>terrycloth brow</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>                    "
Euro Cap Winter,http://www.champ-sys.com.au/custom/euro-cap-winter.html,euro-cap-winter,"                       <h4>Features:</h4><br><ul><br><li>Classic four panel euro-style winter hat.</li><br><li>The front is made from our exclusive <a href='http://champ-sys.com.au/cycling/fabrics'>CS ThermoShield fabric</a> while the rest of the hat is made from our <a href='http://champ-sys.com.au/cycling/fabrics'>CS Tech Fleece</a>.&#xA0; Only the front can be printed with your designs.</li><br><li>Unlimited number of colours.</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>                    "
Euro Cap,http://www.champ-sys.com.au/custom/euro-cap.html,euro-cap,"                       <p>Why is our Euro cap better than a traditional cotton cap? The sublimation process requires a polyester-based fabric, and that&#x2019;s why our cap is not cotton.&#xA0;As with all our garments, we tried to be as innovative as possible with our Euro cap.&#xA0;We looked at a traditional cap and said, &#x201C;How can we make this better?&#x201D;&#xA0;The first thing was to change the fabric.&#xA0;We searched far and wide to find a polyester material that had the look and feel of cotton.&#xA0;Cotton caps require the artwork to be screened and not sublimated.&#xA0;The problem with screen printing is that you can&#x2019;t use intricate designs like fades and tone-on-tone printing.&#xA0;Another problem with screened logos is that, like T-shirts, the logos will eventually crack, peel and fade over time.&#xA0; If you&#x2019;ve ever washed a cotton cycling cap, you know exactly what&#xA0;we&apos;re talking about.&#xA0; Our caps, just like our jerseys, can be washed over and over again and they&#x2019;ll look like new each time.</p><br><h4>Features:</h4><br><ul><br><li>Unlimited number of colors</li><br><li>Fully sublimated and not screen-printed like traditional cycling caps</li><br><li>Classic four-panel &quot;Euro-style&quot; design</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul><br><p>&#xA0;</p>                    "
Race Shorts - RACE,http://www.champ-sys.com.au/custom/race-shorts-race.html,race-shorts-race,"                       <p align='left'>Classic running short design featuring full split sides.&#xA0;Features a privacy liner, key pocket, and drawstring waist. Available in both men&apos;s and women&apos;s cuts. Fully sublimated with your team logos and design. Unlimited colors at no extra charge.</p><br><p align='left'>&#xA0;</p>                    "
Lycra Training Shorts,http://www.champ-sys.com.au/custom/lycra-training-shorts.html,lycra-training-shorts,"                       <p style='display: inline !important;'>This ultra-tight, training short sits at your hip and carries a 4-Way stretch that improves mobility. Shorts maintain their shape while you work your hardest. The superior fabric keeps you cool, comfortable, and wicks away moisture while you sweat. Draw string waist ensures a tight, comfortable fit.</p><br><p style='display: inline !important;'>&#xA0;</p><br><p style='display: inline !important;'>&#xA0;</p><br><p style='display: inline !important;'><b>Features:</b></p><br><p style='display: inline !important;'>&#xA0;</p><br><ul><br><li>Draw string waist</li><br><li>Silicone injected leg gripper</li><br><li>Unlimited number of colours</li><br><li>Rear zip pocket available for an additional $10</li><br></ul><br><p>&#xA0;</p><br>                    "
Tech Lite Polo Shirt,http://www.champ-sys.com.au/custom/tech-lite-polo-shirt.html,tech-lite-polo-shirt,"                       <p style='text-align: justify;'>This polo shirt is fully customisable and is made from our new fabric TECH LITE FABRIC &#x201C;Tech Lite is a lightweight, soft and breathable fabric designed for active sports, keeping you cool and dry while the action heats up&#x201D;  Great for teams, coaches and support staff!</p><br><br>Features:<br><br>    No color charges<br>    No set-up charges<br>    Same price for each style<br>    A BIG Feature That Really Sets Us Apart: Our state-of-the-art digital sublimation printing allows us to print virtually any design.  Unlike most of our competitors who use one set of artwork for the entire order, we prepare separate artwork for every garment and every size.  That means the artwork will look great on an XS shirt and an XXXL shirt.                      "
Fleece Headband,http://www.champ-sys.com.au/custom/fleece-headband.html,fleece-headband,"                       <p>When you need some lightweight protection for your ears, the <a href='http://champ-sys.com.au/cycling/fabrics' target='_blank'>CS Tech Fleece</a> Headband is the perfect item. The contoured design fits perfectly under a helmet offering full ear protection. This is a unisex one-size-fits-most item available in either full custom with your team design or in any of our solid pre-dyed fleece colors</p><br><h4>Features:</h4><br><ul><br><li>The ultimate in winter warmth, our headband features our warm and breathable CS Tech-Fleece &#x2014; the same lightweight fleece we use in our arm/leg/knee warmers.&#xA0;Fits snug and tight so it will work great under your helmet. A must for chilly spring/fall riding!</li><br><li><a href='http://www.champ-sys.com.au/order-minimums/' target='_self'>Minimums</a></li><br></ul>                    "
Thermoshield Winter Jacket ,http://www.champ-sys.com.au/custom/thermoshield-winter-jacket.html,thermoshield-winter-jacket,"                       <p>The ultimate in winter riding jackets, this jacket is made from our exclusive ThermoShield, wind resistant material that is lined with a brushed fleece for premium comfort. Our ThermoShield fabric is a three layer construction to provide the best cold weather protection.</p><br><h4>Features:</h4><br><ul><br><li>made from our exclusive <a href='http://www.champ-sys.com.au/our-fabrics/'>CS ThermoShield fabric</a></li><br><li>unlimited number of colours</li><br><li>high collar</li><br><li>separate side panels</li><br><li>three rear pockets</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p>                    "
Custom &quot;Mini&quot; Jerseys,http://www.champ-sys.com.au/custom/custom-mini-jerseys.html,custom-mini-jerseys,"                       <p>Show your team&apos;s pride with replica mini jerseys!&#xA0; We&apos;ll take your design and shrink it down to a 6&quot; high jersey.&#xA0; The shirt comes complete with a hanger and suction cup.&#xA0; Hang it in your car window. Keep it in your office.&#xA0; Present it to a sponsor.&#xA0; It&apos;s the perfect way to show your team&apos;s pride or say thank you to a supporter.&#xA0;</p>                    "
Apex Women&apos;s Run Top (V Neck Design),http://www.champ-sys.com.au/custom/custom-apex-women-s-run-top-v-neck-design.html,custom-apex-women-s-run-top-v-neck-design,"                       <p><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>The Champion System Apex Run Top is constructed of our exclusive Champion System&#xA0;</span> <span style='background-color: #ffffff;'>CS AirLite&#xA0;</span><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>fabric with strategically placed mesh side panels for even greater breathability and flatlock seams for increased comfort. A must for training and competition.</span></span></p><br><p class='MsoNormal'><strong><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Features:</span></strong></p><br><ul><br><li><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>Constructed of&#xA0;<span style='font-family: Arial, Helvetica, sans-serif; font-size: 12px; line-height: 18px; background-color: #ffffff;'>CS AirLite fabric</span>.</span></li><br><li><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;; color: black; mso-ansi-language: EN;' lang='EN'>100% permanent UV protection yarn able to reach UPF50+.</span></li><br><li><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;; color: black; mso-ansi-language: EN;' lang='EN'>No annoying label tags at the neck</span></li><br><li><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;; color: black; mso-ansi-language: EN;' lang='EN'>Fully customisable.&#xA0; </span></li><br><li><span style='font-size: 10.0pt; font-family: &apos;Arial&apos;,&apos;sans-serif&apos;; color: black; mso-ansi-language: EN;' lang='EN'>Great for clubs, events, corporate teams and more.</span></li><br></ul>                    "
Tech Mechanic Shirt,http://www.champ-sys.com.au/custom/tech-mechanic-shirt.html,tech-mechanic-shirt,"                       <p>Made from either our technical polyester wicking fabric (slightly heavier than our jersey material) or a woven fabric, the mechanic shirt is perfect for staff, retailers or to slip on after a race.&#xA0;It&apos;s a looser fit than our more tailored tech polo shirt.&#xA0;</p><br><p>&#xA0;</p>                    "
Tech Long Length Training Short,http://www.champ-sys.com.au/custom/tech-long-length-training-short.html,tech-long-length-training-short,"                       <p align='left'>Classic loose-fitting running short design.&#xA0;Features a  privacy liner, key pocket, and drawstring waist. Available in both men&apos;s  and women&apos;s cuts. Fully sublimated with your team logos and design.  Unlimited colors at no extra charge.</p>                    "
